"wind","wig","wet_dry","heatloss","skin_temp","resistance","clo","amb_temp","amb_rh","radiation","trial"
0.3,"nude","wet","90.875757575757575","34.011212121212118","4.3565446156388861E-8","2.8106739455734751E-7","34.010909090909074","45.815151515151527","on",1
0.3,"nude","wet","86.748717948717939","34.012051282051274","-1.2118328784857582E-3","-7.818276635391988E-3","34.118205128205148","45.77179487179486","on",2
1,"nude","wet","227.27600000000007","34.025999999999989","1.1895387989071367E-4","7.6744438639170113E-4","33.99839999999999","46.256000000000014","on",1
1,"nude",NA,NA,NA,NA,NA,NA,NA,"on",1
2.5,"nude","wet","276.44615384615383","34.024615384615366","-8.1965089413574244E-4","-5.2880702847467251E-3","34.250512820512817","48.205128205128197","on",1
2.5,"nude","wet","272.2962962962963","34.017407407407397","-8.0386710596290468E-4","-5.1862393933090629E-3","34.232962962962972","48.129629629629626","on",2
0.3,"Low_curve","wet","30.003225806451614","34.000645161290322","-4.2216877024111197E-3","-2.7236694854265289E-2","34.127096774193539","45.435483870967751","on",1
0.3,"Low_curve","wet","27.640540540540545","34.001891891891887","-1.4983347225513928E-2","-9.6666756293638245E-2","34.414054054054056","45.837837837837832","on",2
1,"Low_curve","wet","73.297297297297291","33.995675675675677","-1.3078512016847798E-3","-8.4377496882889029E-3","34.091081081081072","46.497297297297301","on",1
1,"Low_curve","wet","80.938709677419368","34.000967741935483","-1.8835481055586928E-4","-1.2151923261668985E-3","34.01612903225805","46.254838709677415","on",2
2.5,"Low_curve","wet","137.5096774193548","34.005483870967737","1.9351976425224072E-4","1.2485146080789724E-3","33.97870967741936","46.809677419354841","on",1
2.5,"Low_curve","wet","137.44838709677418","33.997096774193544","-1.115821210423864E-3","-7.1988465188636388E-3","34.150322580645145","46.435483870967751","on",2
0.3,"Mid_curve","wet","26.564864864864866","33.99702702702703","-8.6587772183640051E-3","-5.5863078828154875E-2","34.225945945945959","45.445945945945944","on",1
0.3,"Mid_curve","wet","21.72972972972973","33.997567567567572","-9.1348626542659649E-3","-5.8934597769457836E-2","34.195405405405431","45.581081081081088","on",2
1,"Mid_curve","wet","64.035483870967752","33.997096774193551","-4.2694390030750069E-5","-2.7544767761774236E-4","34.000322580645161","46.325806451612905","on",1
1,"Mid_curve","wet","68.045161290322582","33.999677419354839","1.956792259135281E-4","1.2624466187969555E-3","33.985806451612902","46.274193548387096","on",2
2.5,"Mid_curve","wet","133.08048780487809","34.006097560975604","2.4929716912725202E-4","1.6083688330790454E-3","33.975121951219521","46.926829268292686","on",1
2.5,"Mid_curve","wet","129.7825","34.003846153846148","-3.9649494532936167E-4","-2.5580319053507203E-3","34.05599999999999","46.982500000000009","on",2
0.3,"High_curve","wet","16.278048780487801","34.000487804878048","-1.3604770489866221E-2","-8.7772712837846587E-2","34.221463414634151","45.458536585365849","on",1
0.3,"High_curve","wet","16.4780487804878","34.000487804878048","-1.2064769476858642E-2","-7.7837222431346081E-2","34.198048780487824","45.448780487804875","on",2
1,"High_curve","wet","55.554838709677412","33.99677419354839","3.5664231976886189E-4","2.3009181920571734E-3","33.977096774193562","46.345161290322572","on",1
1,"High_curve","wet","52.993548387096773","34.000322580645161","4.4055360091331774E-4","2.8422812962149531E-3","33.976774193548401","46.29354838709677","on",2
2.5,"High_curve","wet",NA,NA,NA,NA,NA,NA,"on",1
2.5,"High_curve","wet","109.7162162162162","34.001351351351353","-1.0627301927830442E-4","-6.8563238244067368E-4","34.01270270270269","46.651351351351344","on",2
0.3,"nude","dry","150.03725490196075","38","0.23682997672344319","1.5279353336996335","2.4725490196078437","46.784313725490179","on",1
0.3,"nude","dry","160.75245901639349","38.017540983606551","0.22372544338835199","1.4433899573442064","2.0973770491803281","43.23770491803279","on",2
0.3,"nude","dry","152.60512820512815","37.99763157894737","0.23397827436914034","1.5095372539944538","2.2994871794871798","46.458974358974359","on",3
1,"nude","dry","74.467567567567571","34.001666666666665","0.32384187236371931","2.089302402346576","9.8916216216216224","41.548648648648644","on",1
1,"nude","dry","84.087804878048786","34.003658536585363","0.29198775436068564","1.8837919636173266","9.4963414634146339","42.797560975609755","on",2
1,"nude","dry","76.347619047619048","33.998095238095239","0.3181747809589992","2.0527405223161237","9.7338095238095246","42.304761904761904","on",3
2.5,"nude","dry","282.72941176470584","33.998235294117649","8.8406759905479429E-2","0.57036619293857693","9.0041176470588198","40.717647058823538","on",1
2.5,"nude","dry","280.27868852459022","34.000655737704925","8.8937066023357811E-2","0.5737875227313407","9.0747540983606552","42.708196721311502","on",2
2.5,"nude","dry","273.22745098039223","34.002549019607841","9.1006836726180942E-2","0.58714088210439319","9.137647058823525","42.611764705882344","on",3
