,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,means,,
,,,,,,,,,,,,,,,,,,WET !!,,,,,,,,,solar,,
,solar,WET!!,,W/m2,Tsk,m2.K/W,clo,Mean Tsk (sel zones),Ambient Temp,Ambient RH,,,,,no-solar,,,W/m2,Tsk,m2.K/W,clo,Mean Tsk (sel zones),Ambient Temp,Ambient RH,,,wind,,
1,High_curve,Head,wet,52.99354839,34.00032258,0.000440554,0.002842281,34.15473299,33.977,46.294,,,,1,High_curve,Head,wet,75.45151515,34.00030303,0.003611849,0.023302253,34.09921947,33.728,47.421,,,,,
2.5,High_curve,Head,wet,149.045,34.0135,5.40019E-05,0.000348399,34.16980721,34.007,46.9375,,,,2.5,High_curve,Head,wet,113.725,34.00525,0.001806561,0.01165523,34.08855333,33.80,48.17,,,,,
2.5,High_curve,Head,wet,109.7162162,34.00135135,-0.000106273,-0.000685632,34.16274885,34.01,46.65,,,,2.5,High_curve,Head,wet,128.5414634,34.00097561,0.000519826,0.003353713,34.18156399,33.934,47.688,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
,solar,,,,,,,,,,,,,,no-solar,,,,,,,,,,,,,,
0.3,nude,Head,dry,150.0372549,38,0.236829977,1.527935334,38,2.473,46.784,,,,0.3,nude,Head,dry,325.2121951,37.99097561,0.112838038,0.727987345,37.99097561,1.295,48.500,,,,,
0.3,nude,Head,dry,160.752459,38.01754098,0.223725443,1.443389957,38.01754098,2.097,43.238,,,,0.3,nude,Head,dry,328.9926829,37.99146341,0.111843412,0.721570402,37.99146341,1.197,43.961,,,,,
0.3,nude,Head,dry,152.6051282,37.99763158,0.233978274,1.509537254,37.99763158,2.299,46.459,,,,0.3,nude,Head,dry,328.7365854,37.99756098,0.112107351,0.72327323,37.99756098,1.15,49.02,,,,,
1,nude,Head,dry,74.46756757,34.00166667,0.323841872,2.089302402,34.00166667,9.89,41.55,,,,1,nude,Head,dry,250.5197183,33.99915493,0.09910011,0.639355551,33.99915493,9.174,43.710,,,,,
1,nude,Head,dry,84.08780488,34.00365854,0.291987754,1.883791964,34.00365854,9.50,42.80,,,,1,nude,Head,dry,246.368,34.00061224,0.101224338,0.653060244,34.00061224,9.06,43.96,,,,,
1,nude,Head,dry,76.34761905,33.99809524,0.318174781,2.052740522,33.99809524,9.734,42.305,,,,1,nude,Head,dry,247.3512195,34.00512195,0.100663295,0.649440614,34.00512195,9.108,44.249,,,,,
2.5,nude,Head,dry,282.7294118,33.99823529,0.08840676,0.570366193,33.99823529,9.004,40.718,,,,2.5,nude,Head,dry,435.5658537,33.99902439,0.05805085,0.37452161,33.99902439,8.714,42.783,,,,,
2.5,nude,Head,dry,280.2786885,34.00065574,0.088937066,0.573787523,34.00065574,9.075,42.708,,,,2.5,nude,Head,dry,449.5243902,34.00195122,0.056204455,0.362609385,34.00195122,8.738,43.876,,,,,
2.5,nude,Head,dry,273.227451,34.00254902,0.091006837,0.587140882,34.00254902,9.138,42.612,,,,2.5,nude,Head,dry,431.6490196,34.00254902,0.058378287,0.376634107,34.00254902,8.804,43.696,,,,,
0.3,Low_curve,Head,dry,24.61311475,38.00344262,1.454958303,9.38682776,38.00344262,2.277,46.128,,,,0.3,Low_curve,Head,dry,87.17073171,37.99585366,0.420224567,2.711126236,37.99585366,1.37,47.63,,,,,
0.3,Low_curve,Head,dry,21.7,38.00853659,1.660914475,10.71557725,38.00853659,2.23,42.13,,,,0.3,Low_curve,Head,dry,87.9516129,37.99741935,0.418614825,2.700740805,37.99741935,1.186774194,44.19354839,,,,,
0.3,Low_curve,Head,dry,26.82786885,38.01360656,1.366324293,8.814995436,38.01360656,1.95,44.69,,,,0.3,Low_curve,Head,dry,87.13225806,37.99645161,0.4224905,2.725745164,37.99645161,1.188709677,46.95806452,,,,,
1,Low_curve,Head,dry,31.51166667,34.00583333,0.77756231,5.016531033,34.00583333,9.552,42.398,,,,1,Low_curve,Head,dry,95.69180328,34.00311475,0.260837085,1.682819906,34.00311475,9.048,43.462,,,,,
1,Low_curve,Head,dry,26.98064516,34.00451613,0.902311258,5.821362956,34.00451613,9.69,42.41,,,,1,Low_curve,Head,dry,92.06,33.99883333,0.269648391,1.739667042,33.99883333,9.177,44.065,,,,,
